Part_nuit,Participation,Date,Julian_day,site_point,Longitude,Latitude,Eptser_tot,Eptser_tot_Part1,ln_Eptser_tot_Part1,Median_part1,Sunrise,Sunset,NightDuration,Moonrise,Moonset,Moonlight,ALAN,Cloud_cover,Windspeed,Windspeed_1before,Windspeed_2before,Windspeed_3before,Windspeed_4before,Windspeed_5before,Difference_windspeed,Temperature_anomaly,Temperature_anomaly_1before,Temperature_anomaly_2before,Temperature_anomaly_3before,Temperature_anomaly_4before,Temperature_anomaly_5before,Difference_temperature_anomaly,Precipitations,Precipitations_1before,Precipitations_2before,Precipitations_3before,Precipitations_4before,Precipitations_5before,Difference_precipitations,Artifialized_surfaces,Crops,Grasslands,Deciduous_forests,Conifer_forests,Shannon_index,Road_density,SWF_density,Min_dist_water
59479df3564127000d6df5a3_2017-06-15,59479df3564127000d6df5a3,15/06/2017,166,57344eb46b9acb000d4c6960_Z8,-0.583727539,46.40631779,211,205,5.32300997913841,5226,16/06/2017 06:09,15/06/2017 21:56,29553,16/06/2017 01:48,16/06/2017 12:57,0.608999749,0.106926,39,9.411164,3.41321,4.604344,5.52268,7.564391013,1.886797021,4.80669433,4.575483769,6.76548372,2.365483818,0.775483854,4.425483772,1.645483834,0.834666648,0,0,0,0,0,0,0,0.058883238,0.901876591,0.03078381,0.000778084,0.000371358,1.644689405,2.25271592,0.0122104,4369.945682
59479f1b564127000d6df5b3_2017-06-13,59479f1b564127000d6df5b3,13/06/2017,164,57344eb46b9acb000d4c6960_Z34,-0.595870972,46.40337814,18,17,2.83321334405622,3720.776,14/06/2017 06:09,13/06/2017 21:55,29613,14/06/2017 00:40,14/06/2017 10:44,0.800719717,0.3535568,100,4.604344,5.52268,7.564391,1.886797,5.316013121,2.952965323,-0.536745771,2.927419289,1.337419325,4.987419243,2.207419305,1.647419318,2.617419296,0.315999993,0,0,0,0,0,5.40000008,-0.360000005,0.067658621,0.886561338,0.03461801,0.002023039,0.000413803,1.686086724,2.36596119,0.012608848,4636.074697
59479f1b564127000d6df5b3_2017-06-14,59479f1b564127000d6df5b3,14/06/2017,165,57344eb46b9acb000d4c6960_Z34,-0.595870972,46.40337814,29,22,3.09104245335832,4927.9345,15/06/2017 06:09,14/06/2017 21:56,29582,15/06/2017 01:15,15/06/2017 11:49,0.709585895,0.3535568,40,3.41321,4.604344,5.52268,7.564391,1.886797021,5.316013121,-1.713138011,6.854838556,2.454838655,0.86483869,4.514838609,1.734838671,1.174838683,4.593333231,0,0,0,0,0,0,0,0.067658621,0.886561338,0.03461801,0.002023039,0.000413803,1.686086724,2.36596119,0.012608848,4636.074697
59479f1b564127000d6df5b3_2017-06-15,59479f1b564127000d6df5b3,15/06/2017,166,57344eb46b9acb000d4c6960_Z34,-0.595870972,46.40337814,11,7,1.94591014905531,6015.227,16/06/2017 06:09,15/06/2017 21:56,29555,16/06/2017 01:48,16/06/2017 12:57,0.608999749,0.3535568,39,9.411164,3.41321,4.604344,5.52268,7.564391013,1.886797021,4.80669433,4.575483769,6.76548372,2.365483818,0.775483854,4.425483772,1.645483834,0.834666648,0,0,0,0,0,0,0,0.067658621,0.886561338,0.03461801,0.002023039,0.000413803,1.686086724,2.36596119,0.012608848,4636.074697
59479f6d564127000d6df5b8_2017-06-13,59479f6d564127000d6df5b8,13/06/2017,164,57344eb46b9acb000d4c6960_Z35,-0.579241276,46.40824604,122,122,4.80402104473326,4655.952,14/06/2017 06:09,13/06/2017 21:55,29610,14/06/2017 00:40,14/06/2017 10:44,0.800719717,0.06642235,100,4.604344,5.52268,7.564391,1.886797,5.316013121,2.952965323,-0.536745771,2.927419289,1.337419325,4.987419243,2.207419305,1.647419318,2.617419296,0.315999993,0,0,0,0,0,5.40000008,-0.360000005,0.061470994,0.899856743,0.03084867,0.000717987,0.000371373,1.60919489,2.31659244,0.012097237,4167.91478
59479f6d564127000d6df5b8_2017-06-14,59479f6d564127000d6df5b8,14/06/2017,165,57344eb46b9acb000d4c6960_Z35,-0.579241276,46.40824604,12,12,2.484906649788,9591.31,15/06/2017 06:09,14/06/2017 21:56,29579,15/06/2017 01:15,15/06/2017 11:49,0.709585895,0.06642235,40,3.41321,4.604344,5.52268,7.564391,1.886797021,5.316013121,-1.713138011,6.854838556,2.454838655,0.86483869,4.514838609,1.734838671,1.174838683,4.593333231,0,0,0,0,0,0,0,0.061470994,0.899856743,0.03084867,0.000717987,0.000371373,1.60919489,2.31659244,0.012097237,4167.91478
59479fcbf93cb0000eccaebe_2017-06-13,59479fcbf93cb0000eccaebe,13/06/2017,164,57344f4ac6ff6c000dbfba15_Z1,-0.571941376,46.41149667,13,13,2.56494935746154,6375.553,14/06/2017 06:09,13/06/2017 21:55,29609,14/06/2017 00:40,14/06/2017 10:44,0.800719717,0.07189114,100,4.604344,5.52268,7.564391,1.886797,5.316013121,2.952965323,-0.536745771,2.927419289,1.337419325,4.987419243,2.207419305,1.647419318,2.617419296,0.315999993,0,0,0,0,0,5.40000008,-0.360000005,0.076751141,0.881699085,0.03309696,0.001612761,0.000328918,1.6406942,2.37109112,0.013576962,3781.556364
5947a00bf93cb0000eccaec0_2017-06-14,5947a00bf93cb0000eccaec0,14/06/2017,165,57344f4ac6ff6c000dbfba15_Z5,-0.572256803,46.41183306,12,8,2.07944154167984,4720.801,15/06/2017 06:09,14/06/2017 21:56,29577,15/06/2017 01:15,15/06/2017 11:49,0.709585895,0.073063,40,3.41321,4.604344,5.52268,7.564391,1.886797021,5.316013121,-1.713138011,6.854838556,2.454838655,0.86483869,4.514838609,1.734838671,1.174838683,4.593333231,0,0,0,0,0,0,0,0.076248619,0.881626804,0.03364659,0.001563312,0.000336006,1.644051592,2.37185588,0.013538922,3748.04705
594cfd6cf0ed21000fc91462_2017-06-20,594cfd6cf0ed21000fc91462,20/06/2017,171,57c3dfce3c830c000ebce9c5_Z2,-1.106770635,49.18627147,356,283,5.64544689764324,7826,21/06/2017 05:59,20/06/2017 22:13,27966,21/06/2017 04:19,21/06/2017 19:07,0,0.2194978,30,9.304837,5.21536,8.989993,2.999999,7.088021332,12.30325298,2.803766024,8.673870774,6.983870812,3.813870882,2.103870921,0.233870963,1.313870938,4.789333226,0,0,0,0,0,0,0,0.110587682,0.249928377,0.5829929,0.0421923,0.003858491,1.364980374,2.08074119,0.098890109,279.9969955
59528136026a23000da7e42c_2017-06-14,59528136026a23000da7e42c,14/06/2017,165,59528075026a23000eab7317_Z1,3.429963961,50.41290962,68,39,3.66356164612965,11694.002,15/06/2017 05:34,14/06/2017 21:58,27327,15/06/2017 01:08,15/06/2017 11:23,0.709585895,3.388111,32,6.041523,3.60555,7.782032,9.402129,4.237924516,8.683893942,-0.259944198,3.865806365,0.155806448,-0.184193544,6.365806309,2.265806401,2.105806405,2.147333285,0,0,0,0,0,1.100000016,-0.073333334,0.153439382,0.029344454,0.09434723,0.6173336,0.04955591,1.403200597,1.29942054,0.014350555,74.64211413
59528136026a23000da7e42c_2017-06-15,59528136026a23000da7e42c,15/06/2017,166,59528075026a23000eab7317_Z1,3.429963961,50.41290962,52,49,3.89182029811063,4362.002,16/06/2017 05:34,15/06/2017 21:59,27296,16/06/2017 01:38,16/06/2017 12:34,0.608999749,3.388111,38,10.06479,6.041523,3.60555,7.782032,9.40212898,4.237924516,3.996917102,5.901290191,4.071290232,0.361290315,0.021290322,6.571290176,2.471290267,3.402666591,0,0,0,0,0,0,0,0.153439382,0.029344454,0.09434723,0.6173336,0.04955591,1.403200597,1.29942054,0.014350555,74.64211413
59528136026a23000da7e42c_2017-06-16,59528136026a23000da7e42c,16/06/2017,167,59528075026a23000eab7317_Z1,3.429963961,50.41290962,26,26,3.25809653802148,3547.502,17/06/2017 05:34,16/06/2017 21:59,27269,17/06/2017 02:05,17/06/2017 13:47,0.503497715,3.388111,25,5.124454,10.06479,6.041523,3.60555,7.782032498,9.40212898,-2.227071732,1.922580602,5.962580512,4.132580553,0.422580636,0.082580643,6.632580497,-1.704666629,0,0,0,0,0,0,0,0.153439382,0.029344454,0.09434723,0.6173336,0.04955591,1.403200597,1.29942054,0.014350555,74.64211413
59528136026a23000da7e42c_2017-06-17,59528136026a23000da7e42c,17/06/2017,168,59528075026a23000eab7317_Z1,3.429963961,50.41290962,35,29,3.36729582998647,7510.002,18/06/2017 05:34,17/06/2017 22:00,27247,18/06/2017 02:32,18/06/2017 15:02,0,3.388111,10,0.7280106,5.124454,10.06479,6.041523,3.605550443,7.782032498,-5.871931559,4.026774104,1.51677416,5.556774069,3.72677411,0.016774193,-0.323225799,1.313333304,0,0,0,0,0,0,0,0.153439382,0.029344454,0.09434723,0.6173336,0.04955591,1.403200597,1.29942054,0.014350555,74.64211413
